CAST                        ,,        9519554,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,CA-13414       ,,,
Originators Station ID      ,,             38,,,integer,
Originators Cruise ID       ,,               ,,,
Latitude                    ,,        49.2417,decimal degrees,,
Longitude                   ,,       -66.2000,decimal degrees,,
Year                        ,,           1996,,,
Month                       ,,             11,,,
Day                         ,,             19,,,
Time                        ,,          23.43,decimal hours (UT),,
METADATA,
Country                     ,,             CA,NODC code,CANADA
Accession Number            ,,          2023.,NODC code,,
Platform                    ,,          7627.,OCL code,GEORGE R. PEARKES (CCGS;Light Icebreaker;call sign CGCX; built 1986;IMO8320444),
Bottom depth                ,,        185.000,meters,,
High resolution CTD - Bottle,,      11144356.,,,
Sea State                   ,,          2.000,WMO code 3700,SMOOTH-WAVELET 1/3-1 2/3 FT (.1-.5 METERS),
Wind Direction              ,,             5.,WMO code 0877,45 DEGREES - 54 DEGREES,
Wind speed                  ,,          8.000,knots,,
Air temperature (dry bulb)  ,,         -2.000,degrees Celsius,,
probe_type                  ,,             4.,OCL_code,CTD,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
Instrument          ,Salinity,             4.,WOD code,CTD: TYPE UNKNOWN,
VARIABLES ,Depth     ,F,O,Temperatur ,F,O,Salinity   ,F,O,Chlorophyl ,F,O,Pressure   ,F,O,,
UNITS     ,m         , , ,degrees C ,, , ,PSS       ,, , ,ug/l      ,, , ,dbar      ,, , ,,
Prof-Flag ,          ,0, ,          ,0, ,          ,0, ,          ,0, ,          ,0, ,,
        41,       7.6,0, ,     2.953,0, ,    30.420,0, ,     2.456,0, ,       7.7,0, ,
        42,       7.8,0, ,     2.955,0, ,    30.425,0, ,     2.286,0, ,       7.9,0, ,
        43,       8.0,0, ,     2.962,0, ,    30.428,0, ,     2.435,0, ,       8.1,0, ,
        44,       8.2,0, ,     2.975,0, ,    30.430,0, ,     2.222,0, ,       8.3,0, ,
        45,       8.4,0, ,     2.988,0, ,    30.429,0, ,     2.265,0, ,       8.5,0, ,
        46,       8.6,0, ,     2.994,0, ,    30.434,0, ,     1.988,0, ,       8.7,0, ,
        47,       8.7,0, ,     3.001,0, ,    30.433,0, ,     3.330,0, ,       8.8,0, ,
        48,       8.9,0, ,     3.003,0, ,    30.435,0, ,     2.286,0, ,       9.0,0, ,
        49,       9.1,0, ,     3.005,0, ,    30.439,0, ,     2.158,0, ,       9.2,0, ,
        50,       9.3,0, ,     3.007,0, ,    30.445,0, ,     2.115,0, ,       9.4,0, ,
        51,       9.5,0, ,     3.021,0, ,    30.450,0, ,     2.073,0, ,       9.6,0, ,
        52,       9.7,0, ,     3.040,0, ,    30.466,0, ,     2.243,0, ,       9.8,0, ,
        53,       9.9,0, ,     3.055,0, ,    30.499,0, ,     2.052,0, ,      10.0,0, ,
        54,      10.0,0, ,     3.064,0, ,    30.553,0, ,     2.137,0, ,      10.1,0, ,
        55,      10.2,0, ,     3.155,0, ,    30.565,0, ,     2.073,0, ,      10.3,0, ,
        56,      10.4,0, ,     3.313,0, ,    30.546,0, ,     2.158,0, ,      10.5,0, ,
